id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
243320968,Heth's Field 2,f,Heth's Park,Diamond and Rectangular,0,Skinned,362,270,182,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47771852,-79.92746804
976104904,Heth's Field 3,f,Heth's Park,Diamond Only,0,Skinned,105,105,105,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47819748,-79.92739061
1591412883,Joe Natoli Field 1,t,Joe Natoli Park,Diamond and Rectangular,2,Skinned,340,360,285,Morningside,7,10,42003101400,2,10,5,7-Mar,40.48415338,-79.9256077
2120791036,Joe Natoli Field 2,t,Joe Natoli Park,Diamond and Rectangular,0,Skinned,265,360,237,Morningside,7,10,42003101400,2,10,5,7-Mar,40.48372853,-79.92583066
1492586226,Joe Natoli Field 3,t,Joe Natoli Park,Diamond and Rectangular,0,Grass,130,130,130,Morningside,7,10,42003101400,2,10,5,7-Mar,40.48408182,-79.92633375
616956001,John McGrane Field 1,t,Leslie Park,Diamond and Rectangular,0,Skinned,150,210,154,Central Lawrenceville,7,9,42003090200,2,9,2,3-Mar,40.47288664,-79.95694904
1332658922,John McGrane Field 2,t,Leslie Park,Diamond and Rectangular,0,Skinned,350,285,260,Central Lawrenceville,7,9,42003090200,2,9,2,3-Mar,40.47244049,-79.95738627
1216858315,Josh Gibson Field 1,t,Ammon Park,Diamond Only,0,Grass with Skinned Baselines,270,290,220,Bedford Dwellings,6,5,42003050900,3,5,2,5-Feb,40.44967795,-79.97791071
1148246855,Josh Gibson Field 2,t,Ammon Park,Diamond Only,0,Grass with Skinned Baselines,270,290,220,Bedford Dwellings,6,5,42003050900,3,5,2,5-Feb,40.44951792,-79.97849941
1846713475,Kennard,t,Kennard Park,Diamond and Rectangular,1,Skinned,415,405,295,Terrace Village,6,5,42003051000,3,5,2,10-Feb,40.44226402,-79.97303532
572751690,Loretta Miller,f,McKinley Park,Diamond Only,0,Skinned,195,175,140,Beltzhoover,4,18,42003562400,5,18,3,7-Apr,40.41364272,-79.99746158
467296944,Magee Field 1,t,Magee Park,Diamond Only,0,Skinned,328,340,215,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42580297,-79.9376634
1099665010,Magee Field 2,t,Magee Park,Diamond Only,0,Skinned,297,340,285,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.42530843,-79.93748538
1554244676,Manchester,t,Manchester School Park,Diamond Only,0,Skinned,320,370,278,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45676266,-80.02481197
1719658442,Marmaduke,f,Marmaduke Park,Diamond Only,0,Grass,200,150,150,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48516535,-80.04368783
315057042,Martin Luther King,f,Allegheny Commons,Diamond Only,0,Skinned,200,200,200,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45509104,-80.00361787
230955707,Mazeroski,f,Schenley Park,Diamond Only,0,Skinned,183,185,185,Central Oakland,3,4,42003040500,3,4,4,11-Feb,40.44141704,-79.95211788
143191788,Mcbride,f,McBride Park,Diamond Only,0,Grass with Skinned Baselines,269,291,196,Lincoln Place,5,31,42003310200,3,31,4,20-Apr,40.36929033,-79.90756773
40063038,McGonigle,f,McGonigle Park,Diamond Only,0,Skinned,185,197,190,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.46010234,-80.06576612
629665982,McKinley Field 1,t,McKinley Park,Diamond and Rectangular,1,Skinned,385,285,190,Beltzhoover,4,18,42003562400,5,18,3,7-Apr,40.41234291,-79.99932396
1330092478,Mellon Field  1,t,Mellon Park,Diamond Only,0,Skinned,367,366,360,Shadyside,8,7,42003070800,2,7,4,13-Mar,40.45427335,-79.91676889
1397213066,Mellon Field  3,f,Mellon Park,Diamond Only,0,Skinned,192,200,189,Shadyside,8,7,42003070800,2,7,4,13-Mar,40.45453692,-79.91614241
130126849,Mellon Field 2,f,Mellon Park,Diamond Only,0,Skinned,178,198,179,Shadyside,8,7,42003070800,2,7,4,13-Mar,40.45514826,-79.91536672
56124231,Michael Flynn,f,Spring Garden Park,Diamond Only,0,Skinned,175,170,155,Spring Garden,1,24,42003241200,1,24,1,24-Jan,40.46585808,-79.98577295
704054857,Middle,f,Arsenal Park,Diamond Only,0,Skinned,200,200,200,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46715649,-79.96169906
2123090156,Monongahela,f,Monongahela Park,Diamond Only,0,Grass,270,200,165,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,40.42213005,-79.96639994
566274459,Moore Field 1,t,Moore Park,Diamond and Rectangular,2,Skinned,300,410,312,Brookline,4,19,42003191700,5,19,6,26-Apr,40.40486291,-80.01258329
842334084,Moore Field 2,f,Moore Park,Diamond Only,0,Skinned,190,275,200,Brookline,4,19,42003191700,5,19,6,26-Apr,40.40496131,-80.01388915
1452559467,Oakwood,f,Oakwood Park,Diamond Only,0,Skinned,180,180,180,Oakwood,2,28,42003562800,5,28,6,19-Jan,40.42554811,-80.06583265
